actor,target,type
MartinJohns,Lenmint,comment
nmain,DanielRosenwasser,comment
xsourabhsharma,DanielRosenwasser,comment
jakebailey,DanielRosenwasser,comment
xsourabhsharma,DanielRosenwasser,comment
jcalz,RyanCavanaugh,comment
MartinJohns,rtritto,comment
MartinJohns,rtritto,comment
nmain,rtritto,comment
MartinJohns,atomeam,comment
RyanCavanaugh,atomeam,comment
RyanCavanaugh,atomeam,issue_commented
RyanCavanaugh,TheLazySquid,comment
tahanawab4848,TheLazySquid,comment
typescript-automation[bot],TheLazySquid,comment
RyanCavanaugh,TheLazySquid,comment
tahanawab4848,TheLazySquid,comment
RyanCavanaugh,TheLazySquid,comment
typescript-automation[bot],TheLazySquid,issue_commented
ritschwumm,robpalme,comment
snarbles2,robpalme,comment
acutmore,robpalme,comment
RyanCavanaugh,robpalme,comment
RyanCavanaugh,robpalme,comment
ahejlsberg,robpalme,comment
ahejlsberg,robpalme,issue_commented
jcalz,oe-andreas-soroko,comment
RyanCavanaugh,oe-andreas-soroko,comment
MartinJohns,hkleungai,comment
RyanCavanaugh,hkleungai,comment
typescript-bot,hkleungai,comment
typescript-bot,hkleungai,issue_commented
MartinJohns,mzleman,comment
RyanCavanaugh,mzleman,comment
MannXo,mzleman,comment
MartinJohns,mzleman,comment
MartinJohns,canonic-epicure,comment
MartinJohns,canonic-epicure,comment
jcalz,mozesstumpf,comment
MartinJohns,canonic-epicure,comment
mkantor,eps1lon,comment
mkantor,eps1lon,comment
jcalz,laverdet,comment
nmain,laverdet,comment
Renegade334,laverdet,comment
nmain,laverdet,comment
nmain,kadun13nindi12,comment
MartinJohns,kadun13nindi12,comment
jcalz,kadun13nindi12,comment
Mudloop,kadun13nindi12,comment
nmain,kadun13nindi12,comment
RyanCavanaugh,kadun13nindi12,comment
RyanCavanaugh,kadun13nindi12,issue_commented
snarbles2,RHOOPH,comment
RyanCavanaugh,RHOOPH,comment
typescript-bot,RHOOPH,comment
typescript-bot,RHOOPH,issue_commented
MartinJohns,matthiasrieger,comment
snarbles2,matthiasrieger,comment
RyanCavanaugh,matthiasrieger,comment
RyanCavanaugh,matthiasrieger,issue_commented
MartinJohns,loynoir,comment
MartinJohns,loynoir,comment
RyanCavanaugh,loynoir,comment
nmain,svenvandescheur,comment
MartinJohns,svenvandescheur,comment
MartinJohns,svenvandescheur,comment
nmain,svenvandescheur,comment
MartinJohns,svenvandescheur,comment
nmain,svenvandescheur,comment
nmain,svenvandescheur,comment
RyanCavanaugh,svenvandescheur,comment
typescript-bot,svenvandescheur,comment
typescript-bot,svenvandescheur,issue_commented
RyanCavanaugh,LangLangBart,comment
RyanCavanaugh,Se3do,comment
RyanCavanaugh,Se3do,issue_commented
RyanCavanaugh,aiday-mar,comment
tahanawab4848,aiday-mar,comment
MartinJohns,johanrd,comment
MartinJohns,sulthonzh,comment
mkantor,sulthonzh,comment
RyanCavanaugh,sulthonzh,comment
RyanCavanaugh,sulthonzh,issue_commented
MartinJohns,Liam1-dev,comment
snarbles2,Liam1-dev,comment
guillaumebrunerie,Liam1-dev,comment
nmain,Liam1-dev,comment
RyanCavanaugh,zainnadeem786,comment
nmain,youngspe,comment
RyanCavanaugh,youngspe,issue_commented
RyanCavanaugh,mcube-12139,comment
typescript-bot,mcube-12139,comment
typescript-bot,mcube-12139,issue_commented
jakebailey,heroboy,comment
RyanCavanaugh,Lefgk,comment
RyanCavanaugh,Lefgk,issue_commented
MartinJohns,adevart,comment
RyanCavanaugh,adevart,comment
RyanCavanaugh,adevart,issue_commented
MartinJohns,eng-same,comment
typescript-bot,eng-same,comment
typescript-bot,eng-same,issue_commented
Hamzaa6296,danon,comment
jcalz,danon,comment
RyanCavanaugh,danon,comment
khalil-mhiri-cyber,danon,comment
typescript-bot,danon,comment
typescript-bot,danon,issue_commented
vitalysinitsin,Bertie690,comment
RyanCavanaugh,Bertie690,comment
vitalysinitsin,Bertie690,comment
RyanCavanaugh,Bertie690,comment
MartinJohns,raydog,comment
typescript-bot,raydog,comment
typescript-bot,raydog,issue_commented
RyanCavanaugh,paoloricciuti,comment
jcalz,paoloricciuti,comment
jcalz,paoloricciuti,comment
typescript-bot,paoloricciuti,comment
typescript-bot,paoloricciuti,issue_commented
danyalahmed1995,angrybacon,comment
MartinJohns,angrybacon,comment
RyanCavanaugh,angrybacon,comment
RyanCavanaugh,angrybacon,comment
guillaumebrunerie,angrybacon,comment
RyanCavanaugh,angrybacon,comment
RyanCavanaugh,angrybacon,comment
RyanCavanaugh,angrybacon,comment
RyanCavanaugh,angrybacon,issue_commented
RyanCavanaugh,Bertie690,comment
RyanCavanaugh,Bertie690,issue_commented
MartinJohns,Derugon,comment
RyanCavanaugh,Derugon,comment
nmain,Derugon,comment
RyanCavanaugh,Derugon,comment
voxpelli,Derugon,comment
voxpelli,Derugon,comment
voxpelli,Derugon,comment
MartinJohns,Derugon,comment
voxpelli,Derugon,comment
MartinJohns,ArshVermaGit,comment
RyanCavanaugh,ArshVermaGit,comment
RyanCavanaugh,ArshVermaGit,issue_commented
RyanCavanaugh,danon,comment
MartinJohns,danon,comment
MartinJohns,danon,comment
MartinJohns,danon,comment
MartinJohns,danon,comment
mkantor,danon,comment
typescript-bot,danon,comment
typescript-bot,danon,issue_commented
mkantor,qwq0,comment
RyanCavanaugh,qwq0,comment
RyanCavanaugh,qwq0,comment
RyanCavanaugh,qwq0,issue_commented
RyanCavanaugh,wnayes,comment
joj,wnayes,comment
joj,wnayes,comment
joj,wnayes,issue_commented
RyanCavanaugh,danyalahmed1995,comment
RyanCavanaugh,danyalahmed1995,comment
typescript-bot,danyalahmed1995,comment
typescript-bot,danyalahmed1995,issue_commented
mkantor,carljohnsonnewhampshire-hue,comment
mkantor,carljohnsonnewhampshire-hue,comment
mkantor,carljohnsonnewhampshire-hue,comment
RyanCavanaugh,carljohnsonnewhampshire-hue,comment
jcalz,carljohnsonnewhampshire-hue,comment
RyanCavanaugh,carljohnsonnewhampshire-hue,comment
mkantor,carljohnsonnewhampshire-hue,comment
RyanCavanaugh,carljohnsonnewhampshire-hue,comment
RyanCavanaugh,carljohnsonnewhampshire-hue,comment
mkantor,carljohnsonnewhampshire-hue,comment
typescript-bot,carljohnsonnewhampshire-hue,comment
typescript-bot,carljohnsonnewhampshire-hue,issue_commented
mkantor,DhineshPonnarasan,comment
danyalahmed1995,DhineshPonnarasan,comment
danyalahmed1995,DhineshPonnarasan,comment
RyanCavanaugh,DhineshPonnarasan,comment
snarbles2,DhineshPonnarasan,comment
RyanCavanaugh,DhineshPonnarasan,comment
MartinJohns,DhineshPonnarasan,comment
puneetdixit200,DhineshPonnarasan,comment
MartinJohns,DhineshPonnarasan,comment
mkantor,spaceemotion,comment
mkantor,spaceemotion,comment
RyanCavanaugh,spaceemotion,comment
RyanCavanaugh,spaceemotion,comment
RyanCavanaugh,spaceemotion,comment
typescript-bot,spaceemotion,comment
typescript-bot,spaceemotion,issue_commented
mkantor,garysassano,comment
MartinJohns,JohanRonnblom,comment
jcalz,JohanRonnblom,comment
RyanCavanaugh,JohanRonnblom,comment
RyanCavanaugh,carljohnsonnewhampshire-hue,comment
RyanCavanaugh,carljohnsonnewhampshire-hue,comment
jcalz,carljohnsonnewhampshire-hue,comment
jcalz,carljohnsonnewhampshire-hue,comment
typescript-bot,carljohnsonnewhampshire-hue,comment
typescript-bot,carljohnsonnewhampshire-hue,issue_commented
RyanCavanaugh,Withered-Flower-0422,comment
mkantor,Withered-Flower-0422,comment
RyanCavanaugh,Withered-Flower-0422,comment
MartinJohns,freshp86,comment
MARIUAM,freshp86,comment
RyanCavanaugh,freshp86,comment
RyanCavanaugh,freshp86,comment
RyanCavanaugh,StyleShit,comment
RyanCavanaugh,StyleShit,comment
RyanCavanaugh,StyleShit,comment
ahejlsberg,StyleShit,comment
RyanCavanaugh,mliebold-jax,comment
typescript-bot,mliebold-jax,comment
typescript-bot,mliebold-jax,issue_commented
snakefood3232,827652549,comment
snakefood3232,827652549,comment
RyanCavanaugh,827652549,comment
RyanCavanaugh,glitcher255,comment
RyanCavanaugh,glitcher255,issue_commented
RyanCavanaugh,dragomirtitian,comment
MartinJohns,hyperair,comment
RyanCavanaugh,hyperair,comment
typescript-bot,hyperair,comment
typescript-bot,hyperair,issue_commented
RyanCavanaugh,christopher-buss,comment
RyanCavanaugh,christopher-buss,comment
jakebailey,christopher-buss,issue_commented
MartinJohns,walkerburgin,comment
RyanCavanaugh,JoostK,comment
RyanCavanaugh,JoostK,comment
typescript-bot,JoostK,comment
typescript-bot,JoostK,issue_commented
MartinJohns,ilyash-b,comment
jcalz,ilyash-b,comment
RyanCavanaugh,ilyash-b,comment
RyanCavanaugh,ilyash-b,comment
jendrikw,ilyash-b,comment
typescript-bot,ilyash-b,comment
typescript-bot,ilyash-b,issue_commented
RyanCavanaugh,EvertsRozz,comment
RyanCavanaugh,EvertsRozz,comment
MartinJohns,PoseidonEnergy,comment
nmain,PoseidonEnergy,comment
mkantor,PoseidonEnergy,comment
MartinJohns,PoseidonEnergy,comment
typescript-bot,PoseidonEnergy,comment
typescript-bot,PoseidonEnergy,issue_commented
mkantor,codpro2005,comment
mkantor,codpro2005,comment
RyanCavanaugh,codpro2005,comment
jcalz,codpro2005,comment
RyanCavanaugh,codpro2005,comment
RyanCavanaugh,jcalz,comment
pratyush618,jcalz,comment
RyanCavanaugh,Bertie690,comment
RyanCavanaugh,Bertie690,comment
RyanCavanaugh,Bertie690,issue_commented
nmain,dangreen,comment
mkantor,dangreen,comment
RyanCavanaugh,dangreen,comment
typescript-bot,dangreen,comment
typescript-bot,dangreen,issue_commented
snarbles2,olegdunkan,comment
MartinJohns,olegdunkan,comment
RyanCavanaugh,Bodlux,issue_commented
hikeeba,matthew-lo-housing,comment
RyanCavanaugh,matthew-lo-housing,comment
hikeeba,matthew-lo-housing,comment
himhimlo,matthew-lo-housing,comment
hikeeba,matthew-lo-housing,comment
RyanCavanaugh,matthew-lo-housing,comment
hikeeba,matthew-lo-housing,comment
RyanCavanaugh,matthew-lo-housing,comment
fredericbahr,matthew-lo-housing,comment
RyanCavanaugh,matthew-lo-housing,comment
RyanCavanaugh,matthew-lo-housing,comment
Takichih,matthew-lo-housing,comment
himhimlo,matthew-lo-housing,comment
typescript-bot,matthew-lo-housing,comment
typescript-bot,matthew-lo-housing,issue_commented
RyanCavanaugh,j787701730,comment
RyanCavanaugh,j787701730,comment
RyanCavanaugh,j787701730,issue_commented
MartinJohns,MomoseMitsuki,comment
guest271314,MomoseMitsuki,comment
MartinJohns,BojanRatkovic,comment
RyanCavanaugh,BojanRatkovic,comment
typescript-bot,BojanRatkovic,comment
typescript-bot,BojanRatkovic,issue_commented
RyanCavanaugh,jalalijawid47-dot,issue_commented
MartinJohns,dupasj,comment
RyanCavanaugh,dupasj,comment
typescript-bot,dupasj,comment
typescript-bot,dupasj,issue_commented
guillaumebrunerie,dragomirtitian,comment
RyanCavanaugh,dragomirtitian,comment
jakebailey,dragomirtitian,comment
RyanCavanaugh,yanjiew1,comment
nmain,yanjiew1,comment
RyanCavanaugh,mkantor,comment
nmain,conartist6,comment
nmain,conartist6,comment
mkantor,conartist6,comment
snarbles2,conartist6,comment
nmain,conartist6,comment
RyanCavanaugh,conartist6,comment
snarbles2,conartist6,comment
mkantor,conartist6,comment
RyanCavanaugh,conartist6,comment
mkantor,conartist6,comment
RyanCavanaugh,conartist6,issue_commented
RyanCavanaugh,flexdevguy,comment
RyanCavanaugh,flexdevguy,issue_commented
jakebailey,paztis,comment
MartinJohns,denis-migdal,comment
MartinJohns,denis-migdal,comment
mkantor,denis-migdal,comment
RyanCavanaugh,denis-migdal,comment
RyanCavanaugh,denis-migdal,comment
typescript-bot,denis-migdal,comment
typescript-bot,denis-migdal,issue_commented
MartinJohns,Abrifq,comment
dagangtj,Abrifq,comment
mkantor,m-hall,comment
RyanCavanaugh,julienw,comment
RyanCavanaugh,julienw,comment
RyanCavanaugh,julienw,comment
RyanCavanaugh,julienw,comment
MartinJohns,marqdouj,comment
RyanCavanaugh,marqdouj,issue_commented
RyanCavanaugh,denis-migdal,comment
RedCMD,kidCaulfield,comment
RyanCavanaugh,kidCaulfield,comment
RyanCavanaugh,denis-migdal,comment
typescript-bot,denis-migdal,comment
typescript-bot,denis-migdal,issue_commented
Hamzaa6296,TurtIeSocks,comment
guillaumebrunerie,swarajkd,comment
RyanCavanaugh,swarajkd,comment
RyanCavanaugh,swarajkd,issue_commented
RyanCavanaugh,sebaspf,comment
jakebailey,sebaspf,comment
typescript-bot,sebaspf,comment
typescript-bot,sebaspf,issue_commented
RyanCavanaugh,denis-migdal,comment
RyanCavanaugh,NullVoxPopuli,comment
RyanCavanaugh,NullVoxPopuli,comment
MartinJohns,codextremist,comment
RyanCavanaugh,denis-migdal,comment
jcalz,kevalcodezee,comment
RyanCavanaugh,RobertSandiford,comment
RyanCavanaugh,RobertSandiford,comment
RyanCavanaugh,pfgithub,comment
MartinJohns,Uanela,comment
RyanCavanaugh,JLHwung,issue_commented
RyanCavanaugh,Aylur,comment
RyanCavanaugh,avivkeller,comment
RyanCavanaugh,avivkeller,comment
RyanCavanaugh,avivkeller,issue_commented
RyanCavanaugh,FunctionDJ,comment
RyanCavanaugh,FunctionDJ,comment
deepnav4,tomhamiltonlambda,comment
dagangtj,tomhamiltonlambda,comment
RyanCavanaugh,OldStarchy,comment
RyanCavanaugh,OldStarchy,comment
typescript-bot,OldStarchy,comment
RyanCavanaugh,OldStarchy,comment
typescript-bot,OldStarchy,issue_commented
RyanCavanaugh,GuichiZhao,comment
RyanCavanaugh,GuichiZhao,issue_commented
jakebailey,eps1lon,comment
jakebailey,eps1lon,comment
RyanCavanaugh,eduardocque,comment
RyanCavanaugh,eduardocque,comment
RyanCavanaugh,eduardocque,comment
MartinJohns,eduardocque,comment
typescript-bot,eduardocque,comment
typescript-bot,eduardocque,issue_commented
nmain,wyattscarpenter,comment
