actor,target,type
jcalz,RyanCavanaugh,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,mcube-12139,COMMENT_ON_ISSUE_OR_PR
typescript-bot,mcube-12139,COMMENT_ON_ISSUE_OR_PR
typescript-bot,mcube-12139,ISSUE_CLOSED_BY_OTHER
MartinJohns,rtritto,COMMENT_ON_ISSUE_OR_PR
MartinJohns,rtritto,COMMENT_ON_ISSUE_OR_PR
nmain,rtritto,COMMENT_ON_ISSUE_OR_PR
MartinJohns,matthiasrieger,COMMENT_ON_ISSUE_OR_PR
snarbles2,matthiasrieger,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,matthiasrieger,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,matthiasrieger,ISSUE_CLOSED_BY_OTHER
jcalz,laverdet,COMMENT_ON_ISSUE_OR_PR
nmain,laverdet,COMMENT_ON_ISSUE_OR_PR
Renegade334,laverdet,COMMENT_ON_ISSUE_OR_PR
nmain,laverdet,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,zainnadeem786,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],DukeDeSouth,COMMENT_ON_ISSUE_OR_PR
typescript-automation[bot],DukeDeSouth,COMMENT_ON_ISSUE_OR_PR
MartinJohns,wolfe8105,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,wolfe8105,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,creazyfrog,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,creazyfrog,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],DukeDeSouth,PR_REVIEW_OR_APPROVAL
MartinJohns,canonic-epicure,COMMENT_ON_ISSUE_OR_PR
MartinJohns,canonic-epicure,COMMENT_ON_ISSUE_OR_PR
copilot-pull-request-reviewer[bot],wolfe8105,PR_REVIEW_OR_APPROVAL
MartinJohns,mzleman,COMMENT_ON_ISSUE_OR_PR
RyanCavanaugh,mzleman,COMMENT_ON_ISSUE_OR_PR
MannXo,mzleman,COMMENT_ON_ISSUE_OR_PR
MartinJohns,mzleman,COMMENT_ON_ISSUE_OR_PR
