actor,target,type
user1,user0,PR_REVIEW_OR_APPROVAL
user2,user1,COMMENT_ON_ISSUE_OR_PR
user9,user6,COMMENT_ON_ISSUE_OR_PR
user0,user1,ISSUE_CLOSED_BY_OTHER
user3,user8,COMMENT_ON_ISSUE_OR_PR
user8,user3,PR_MERGE
user3,user7,PR_REVIEW_OR_APPROVAL
user0,user2,PR_MERGE
user5,user4,ISSUE_CLOSED_BY_OTHER
user3,user5,COMMENT_ON_ISSUE_OR_PR
user1,user6,COMMENT_ON_ISSUE_OR_PR
user9,user4,COMMENT_ON_ISSUE_OR_PR
user7,user8,COMMENT_ON_ISSUE_OR_PR
user6,user1,PR_REVIEW_OR_APPROVAL
user9,user5,ISSUE_CLOSED_BY_OTHER
user1,user0,ISSUE_CLOSED_BY_OTHER
user4,user1,ISSUE_CLOSED_BY_OTHER
user1,user6,PR_REVIEW_OR_APPROVAL
user7,user5,ISSUE_CLOSED_BY_OTHER
user3,user4,COMMENT_ON_ISSUE_OR_PR
user9,user2,ISSUE_CLOSED_BY_OTHER
user2,user7,PR_MERGE
user4,user8,ISSUE_CLOSED_BY_OTHER
user5,user0,ISSUE_CLOSED_BY_OTHER
user0,user5,PR_MERGE
user4,user1,ISSUE_CLOSED_BY_OTHER
user9,user5,ISSUE_CLOSED_BY_OTHER
user7,user6,PR_MERGE
user2,user4,ISSUE_CLOSED_BY_OTHER
user3,user8,PR_REVIEW_OR_APPROVAL
user9,user6,PR_MERGE
user5,user3,ISSUE_CLOSED_BY_OTHER
user8,user7,COMMENT_ON_ISSUE_OR_PR
user0,user1,ISSUE_CLOSED_BY_OTHER
user2,user6,COMMENT_ON_ISSUE_OR_PR
user9,user7,PR_REVIEW_OR_APPROVAL
user8,user0,COMMENT_ON_ISSUE_OR_PR
user8,user4,PR_REVIEW_OR_APPROVAL
user1,user4,PR_MERGE
user2,user7,COMMENT_ON_ISSUE_OR_PR
user4,user8,ISSUE_CLOSED_BY_OTHER
user8,user1,PR_REVIEW_OR_APPROVAL
user8,user9,ISSUE_CLOSED_BY_OTHER
user2,user5,ISSUE_CLOSED_BY_OTHER
user0,user9,PR_REVIEW_OR_APPROVAL
user7,user0,COMMENT_ON_ISSUE_OR_PR
user5,user4,ISSUE_CLOSED_BY_OTHER
user0,user3,COMMENT_ON_ISSUE_OR_PR
user1,user7,COMMENT_ON_ISSUE_OR_PR
user8,user2,ISSUE_CLOSED_BY_OTHER
user7,user8,ISSUE_CLOSED_BY_OTHER
user4,user8,PR_MERGE
user3,user8,ISSUE_CLOSED_BY_OTHER
user4,user6,PR_REVIEW_OR_APPROVAL
user7,user8,PR_MERGE
user1,user3,ISSUE_CLOSED_BY_OTHER
user1,user5,COMMENT_ON_ISSUE_OR_PR
user9,user8,ISSUE_CLOSED_BY_OTHER
user9,user3,COMMENT_ON_ISSUE_OR_PR
user1,user0,ISSUE_CLOSED_BY_OTHER
user1,user0,PR_REVIEW_OR_APPROVAL
user1,user8,ISSUE_CLOSED_BY_OTHER
user4,user7,ISSUE_CLOSED_BY_OTHER
user8,user2,PR_MERGE
user3,user7,PR_MERGE
user3,user1,COMMENT_ON_ISSUE_OR_PR
user6,user5,PR_MERGE
user6,user7,COMMENT_ON_ISSUE_OR_PR
user1,user0,PR_MERGE
user5,user1,ISSUE_CLOSED_BY_OTHER
user8,user7,ISSUE_CLOSED_BY_OTHER
user6,user2,PR_REVIEW_OR_APPROVAL
user7,user3,COMMENT_ON_ISSUE_OR_PR
user7,user8,COMMENT_ON_ISSUE_OR_PR
user0,user8,COMMENT_ON_ISSUE_OR_PR
user1,user3,ISSUE_CLOSED_BY_OTHER
user6,user7,PR_MERGE
user3,user6,COMMENT_ON_ISSUE_OR_PR
user2,user6,COMMENT_ON_ISSUE_OR_PR
user6,user4,PR_MERGE
user4,user6,PR_MERGE
user2,user3,PR_REVIEW_OR_APPROVAL
user3,user0,COMMENT_ON_ISSUE_OR_PR
user5,user0,COMMENT_ON_ISSUE_OR_PR
user9,user7,ISSUE_CLOSED_BY_OTHER
user0,user8,COMMENT_ON_ISSUE_OR_PR
user2,user1,COMMENT_ON_ISSUE_OR_PR
user3,user6,COMMENT_ON_ISSUE_OR_PR
user9,user3,COMMENT_ON_ISSUE_OR_PR
user9,user1,PR_MERGE
user8,user5,PR_REVIEW_OR_APPROVAL
user3,user5,ISSUE_CLOSED_BY_OTHER
user4,user6,ISSUE_CLOSED_BY_OTHER
user4,user7,PR_REVIEW_OR_APPROVAL
user1,user0,PR_MERGE
user8,user3,PR_REVIEW_OR_APPROVAL
user2,user5,COMMENT_ON_ISSUE_OR_PR
user3,user5,PR_REVIEW_OR_APPROVAL
user2,user7,PR_REVIEW_OR_APPROVAL
user9,user8,COMMENT_ON_ISSUE_OR_PR
user8,user4,COMMENT_ON_ISSUE_OR_PR
user2,user4,COMMENT_ON_ISSUE_OR_PR
user1,user8,ISSUE_CLOSED_BY_OTHER
user9,user3,PR_REVIEW_OR_APPROVAL
user3,user4,PR_MERGE
user4,user0,COMMENT_ON_ISSUE_OR_PR
user6,user4,COMMENT_ON_ISSUE_OR_PR
user0,user5,ISSUE_CLOSED_BY_OTHER
user4,user2,PR_MERGE
user8,user6,COMMENT_ON_ISSUE_OR_PR
