actor,target,type
edison1105,sxzz,COMMENT_ON_ISSUE_OR_PR
edison1105,sxzz,COMMENT_ON_ISSUE_OR_PR
edison1105,sxzz,ISSUE_CLOSED_BY_OTHER
xqin,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
dxxta,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
ziyinAtEnboarder,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
zfz329114474,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
zcw1994,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
Lanchili,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
co2color,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
yangxu52,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
gaokun,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
iskw9973,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
june-618,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
edison1105,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
Kocal,songshuangshuang2,COMMENT_ON_ISSUE_OR_PR
edison1105,songshuangshuang2,ISSUE_CLOSED_BY_OTHER
edison1105,guyutongxue,ISSUE_CLOSED_BY_OTHER
edison1105,Jungzl,COMMENT_ON_ISSUE_OR_PR
edison1105,Jungzl,ISSUE_CLOSED_BY_OTHER
edison1105,adnesvetaev,ISSUE_CLOSED_BY_OTHER
linzhe141,mbergen,COMMENT_ON_ISSUE_OR_PR
edison1105,yangmingshan,ISSUE_CLOSED_BY_OTHER
edison1105,wsi18n,ISSUE_CLOSED_BY_OTHER
edison1105,hadakadenkyu,ISSUE_CLOSED_BY_OTHER
edison1105,pont1s,ISSUE_CLOSED_BY_OTHER
edison1105,tiagoroldao,COMMENT_ON_ISSUE_OR_PR
edison1105,tiagoroldao,ISSUE_CLOSED_BY_OTHER
edison1105,hadakadenkyu,ISSUE_CLOSED_BY_OTHER
edison1105,rsauget,ISSUE_CLOSED_BY_OTHER
edison1105,Milkjuiceman,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
KazariEX,raldone01,ISSUE_CLOSED_BY_OTHER
edison1105,rdhelms,COMMENT_ON_ISSUE_OR_PR
edison1105,rdhelms,ISSUE_CLOSED_BY_OTHER
edison1105,Kaidesuyoo,COMMENT_ON_ISSUE_OR_PR
edison1105,Kaidesuyoo,COMMENT_ON_ISSUE_OR_PR
edison1105,justinbeaty,ISSUE_CLOSED_BY_OTHER
edison1105,Mini-ghost,ISSUE_CLOSED_BY_OTHER
edison1105,justinbeaty,COMMENT_ON_ISSUE_OR_PR
edison1105,justinbeaty,ISSUE_CLOSED_BY_OTHER
edison1105,axtho,COMMENT_ON_ISSUE_OR_PR
edison1105,Flo0806,ISSUE_CLOSED_BY_OTHER
edison1105,Captainpast,COMMENT_ON_ISSUE_OR_PR
edison1105,Captainpast,ISSUE_CLOSED_BY_OTHER
edison1105,kcmeven,COMMENT_ON_ISSUE_OR_PR
edison1105,kcmeven,ISSUE_CLOSED_BY_OTHER
KtDune,rzzf,COMMENT_ON_ISSUE_OR_PR
KtDune,rzzf,COMMENT_ON_ISSUE_OR_PR
linzhe141,rzzf,COMMENT_ON_ISSUE_OR_PR
edison1105,rzzf,COMMENT_ON_ISSUE_OR_PR
edison1105,rzzf,ISSUE_CLOSED_BY_OTHER
edison1105,cernymatej,ISSUE_CLOSED_BY_OTHER
edison1105,wuchunxu,COMMENT_ON_ISSUE_OR_PR
ashishkr96,wuchunxu,COMMENT_ON_ISSUE_OR_PR
edison1105,wuchunxu,ISSUE_CLOSED_BY_OTHER
edison1105,cosmincartas,COMMENT_ON_ISSUE_OR_PR
edison1105,cosmincartas,COMMENT_ON_ISSUE_OR_PR
beanscg,cosmincartas,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,brc-dd,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,bgarcias-cp,COMMENT_ON_ISSUE_OR_PR
edison1105,bgarcias-cp,ISSUE_CLOSED_BY_OTHER
edison1105,lichunju1,ISSUE_CLOSED_BY_OTHER
edison1105,gitlibingchen,COMMENT_ON_ISSUE_OR_PR
absidue,bitbytebit1,COMMENT_ON_ISSUE_OR_PR
edison1105,bitbytebit1,COMMENT_ON_ISSUE_OR_PR
edison1105,bitbytebit1,ISSUE_CLOSED_BY_OTHER
edison1105,ZacharyBear,COMMENT_ON_ISSUE_OR_PR
edison1105,jenjen75,ISSUE_CLOSED_BY_OTHER
edison1105,cernymatej,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,Gabriel-SPassos,ISSUE_CLOSED_BY_OTHER
edison1105,jods4,ISSUE_CLOSED_BY_OTHER
edison1105,f3oall,ISSUE_CLOSED_BY_OTHER
skirtles-code,cernymatej,COMMENT_ON_ISSUE_OR_PR
edison1105,raldone01,COMMENT_ON_ISSUE_OR_PR
edison1105,raldone01,COMMENT_ON_ISSUE_OR_PR
edison1105,raldone01,ISSUE_CLOSED_BY_OTHER
edison1105,CrazyboyQCD,COMMENT_ON_ISSUE_OR_PR
edison1105,CrazyboyQCD,ISSUE_CLOSED_BY_OTHER
l246804,WJ0527,COMMENT_ON_ISSUE_OR_PR
edison1105,WJ0527,COMMENT_ON_ISSUE_OR_PR
l246804,WJ0527,COMMENT_ON_ISSUE_OR_PR
l246804,WJ0527,COMMENT_ON_ISSUE_OR_PR
l246804,WJ0527,COMMENT_ON_ISSUE_OR_PR
l246804,WJ0527,COMMENT_ON_ISSUE_OR_PR
edison1105,WJ0527,ISSUE_CLOSED_BY_OTHER
edison1105,raldone01,ISSUE_CLOSED_BY_OTHER
world01102,bitbytebit1,COMMENT_ON_ISSUE_OR_PR
edison1105,bitbytebit1,COMMENT_ON_ISSUE_OR_PR
edison1105,bitbytebit1,ISSUE_CLOSED_BY_OTHER
edison1105,hooray,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,GeoffreyParrier,ISSUE_CLOSED_BY_OTHER
edison1105,GeoffreyParrier,COMMENT_ON_ISSUE_OR_PR
edison1105,GeoffreyParrier,ISSUE_CLOSED_BY_OTHER
haoqunjiang,oodavid,COMMENT_ON_ISSUE_OR_PR
haoqunjiang,oodavid,ISSUE_CLOSED_BY_OTHER
edison1105,cernymatej,ISSUE_CLOSED_BY_OTHER
edison1105,zlotnika,COMMENT_ON_ISSUE_OR_PR
haoqunjiang,zlotnika,COMMENT_ON_ISSUE_OR_PR
haoqunjiang,zlotnika,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,duowb,COMMENT_ON_ISSUE_OR_PR
edison1105,duowb,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
Mini-ghost,indykoning,COMMENT_ON_ISSUE_OR_PR
edison1105,indykoning,COMMENT_ON_ISSUE_OR_PR
edison1105,indykoning,ISSUE_CLOSED_BY_OTHER
edison1105,clemdee,ISSUE_CLOSED_BY_OTHER
edison1105,IGx89,ISSUE_CLOSED_BY_OTHER
edison1105,l246804,COMMENT_ON_ISSUE_OR_PR
edison1105,l246804,ISSUE_CLOSED_BY_OTHER
edison1105,makedopamine,COMMENT_ON_ISSUE_OR_PR
edison1105,makedopamine,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,oodavid,ISSUE_CLOSED_BY_OTHER
edison1105,zhiyuanzmj,COMMENT_ON_ISSUE_OR_PR
edison1105,zhiyuanzmj,ISSUE_CLOSED_BY_OTHER
edison1105,jackma9604,COMMENT_ON_ISSUE_OR_PR
edison1105,jackma9604,ISSUE_CLOSED_BY_OTHER
edison1105,paul-rouse,COMMENT_ON_ISSUE_OR_PR
edison1105,paul-rouse,ISSUE_CLOSED_BY_OTHER
unshame,bysoft-unai,COMMENT_ON_ISSUE_OR_PR
